username,studiedOnline,code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20
username116,1,MU3Sec2116,Experiment,18-Aug-23,18,Rayong,Thailand,4,4,5,4,5,4,4,5,5,4,D,D,C,C,B,A,C,D,B,D,1,0,0,0,1,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username117,0,MU3Sec2117,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,C,D,B,C,D,B,A,1,0,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username120,0,MU3Sec2120,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,3,4,3,3,4,3,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username121,0,MU3Sec2121,Control,18-Aug-23,20,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,4,5,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username122,1,MU3Sec2122,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,3,3,5,5,4,3,5,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username123,1,MU3Sec2123,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,B,C,D,C,B,C,A,A,D,1,0,0,1,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username124,1,MU3Sec2124,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,B,C,D,D,A,C,C,A,B,1,0,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username125,1,MU3Sec2125,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,D,A,D,A,B,C,C,B,A,1,0,1,1,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username126,1,MU3Sec2126,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,4,3,3,3,4,4,4,4,4,2,D,B,C,C,A,B,C,B,A,D,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username127,1,MU3Sec2127,Control,18-Aug-23,20,Bangkok,Thailand,4,3,4,4,4,3,4,4,3,4,D,B,B,D,C,B,B,D,C,C,1,0,0,1,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
